"Tabela 74 - Produção de origem animal, por tipo de produto"
"Variável - Produção de origem animal (Mil litros)"
"Brasil e Município";"Ano x Tipo de produto de origem animal"
"Brasil e Município";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Brasil e Município";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite";"Leite"
"Jaboticaba (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1245";"1341";"1379";"1418";"1478";"1438";"1838";"2198";"2211";"2161";"2087";"2195";"2139";"2226";"2012";"2420";"2840";"2998";"3126";"11076";"10634";"12444";"12967";"12266";"14023";"15444";"14630";"11931";"12144"
"Jacuizinho (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"639";"594";"560";"982";"1474";"1500";"1250";"1285";"1320";"1410";"1450";"1480";"2700";"2900";"3600";"3900";"4325"
"Jacutinga (RS)";"1855";"1485";"1465";"1450";"1400";"1030";"2013";"2014";"2055";"2080";"2224";"2238";"2345";"2371";"3090";"3198";"3250";"3349";"3418";"2437";"2500";"2680";"3594";"3600";"3250";"3073";"3035";"2530";"2567";"2604";"2511";"2492";"2517";"2457";"1672";"1701";"1500";"1650";"3250";"6683";"4092";"6900";"4092";"4005"
"Jaguarão (RS)";"2389";"2067";"2096";"2156";"1922";"2046";"2204";"2641";"2708";"2705";"2507";"2542";"2745";"2679";"2286";"2350";"2387";"2356";"2325";"2054";"2073";"2092";"2924";"2808";"2814";"2828";"2814";"2828";"3337";"3373";"3462";"2939";"2440";"2923";"3215";"3284";"3480";"3550";"2349";"2000";"1960";"1064";"442";"1100"
"Jaguari (RS)";"2348";"19637";"2163";"2207";"2418";"2560";"3024";"3140";"4162";"2120";"2182";"2144";"2290";"2399";"2688";"2234";"2390";"2135";"2063";"2089";"2142";"2129";"3965";"4029";"3288";"3148";"3223";"2625";"2216";"2100";"2285";"2008";"1943";"1905";"2006";"1971";"2021";"1991";"1972";"2035";"2024";"2125";"2180";"1928"
"Jaquirana (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2385";"1723";"1500";"1425";"1525";"1485";"4906";"2357";"3904";"3828";"3535";"3351";"3296";"2850";"3366";"3534";"3616";"3689";"3689";"3800";"3617";"3604";"3693";"3619";"4728";"4964";"5014";"4990";"4991"
"Jari (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2437";"2882";"3200";"3800";"3890";"3624";"3460";"871";"887";"890";"720";"690";"719";"735";"720";"752";"1206";"1325";"1500";"2040";"2393"
"Jóia (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2520";"2522";"2521";"6970";"7236";"22458";"24504";"24508";"26676";"28727";"28727";"23970";"19100";"8000";"8500";"8000";"8500";"6250";"6200";"7000";"6800";"13100";"14400";"12240";"15120";"17400";"20800";"23700";"40000";"30000";"31000";"31000";"28000";"27500";"26000"
"Júlio de Castilhos (RS)";"2858";"2750";"2746";"2760";"2410";"2736";"2475";"2552";"2583";"2650";"2475";"2437";"2355";"2920";"2976";"4499";"4798";"5922";"7150";"3019";"3065";"3144";"6751";"3741";"3797";"3787";"3806";"4292";"4379";"3914";"3221";"2466";"2641";"2660";"2839";"2889";"2712";"2630";"2657";"23444";"30000";"27000";"25000";"25000"
"Lagoa Bonita do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"449";"460";"431";"429";"432";"425";"399";"407";"414";"419";"420";"437";"449";"503";"501";"561";"900"
"Lagoão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1400";"1500";"-";"0";"40";"40";"44";"773";"773";"776";"785";"788";"631";"731";"739";"732";"736";"723";"726";"725";"731";"738";"743";"756";"2018";"2156";"2145";"2156";"2300"
"Lagoa dos Três Cantos (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2468";"3088";"3791";"5545";"5618";"6800";"6976";"6990";"7051";"6237";"5520";"5475";"5947";"7928";"6500";"6650";"8290";"9158";"9361";"9375";"9570";"9790";"9880";"10007";"7008"
"Lagoa Vermelha (RS)";"4219";"4304";"4386";"4423";"4000";"4067";"5305";"7648";"7823";"7893";"8154";"8024";"6834";"6867";"6728";"7450";"9160";"9490";"17928";"18700";"14500";"12770";"5464";"5901";"6137";"6190";"6100";"7025";"15945";"16424";"11885";"5277";"4927";"6592";"6501";"6762";"6379";"8384";"12210";"12516";"12870";"16841";"16608";"16790"
"Lajeado (RS)";"10670";"12811";"12952";"47664";"36332";"40538";"42045";"43084";"43879";"22638";"22446";"22208";"23265";"23502";"23114";"21605";"22293";"21178";"19060";"13931";"14150";"15175";"15000";"11000";"9600";"9632";"10000";"2446";"2036";"2560";"2472";"2380";"2289";"2982";"3241";"3277";"3200";"2590";"3000";"2660";"2250";"2345";"2310";"2252"
"Lajeado do Bugre (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"658";"380";"424";"422";"427";"397";"432";"455";"419";"440";"413";"596";"888";"902";"1026";"4581";"4226";"4527";"4710";"4613";"4880";"4912";"4546";"3844";"4013"
"Lavras do Sul (RS)";"1850";"1736";"1764";"1785";"1416";"1465";"4545";"5081";"4498";"4186";"4163";"4123";"3679";"3837";"2718";"2745";"2816";"2981";"3230";"3495";"3716";"3858";"1268";"288";"1316";"1625";"2134";"2088";"2097";"2141";"2142";"2140";"2413";"2476";"2495";"2520";"2546";"2572";"2521";"2294";"2301";"2324";"1929";"2189"
"Liberato Salzano (RS)";"1089";"1493";"1517";"1526";"1705";"1560";"1534";"1704";"1547";"1563";"1558";"1526";"1778";"1805";"1717";"1603";"1711";"1814";"1881";"2386";"1893";"2873";"3117";"3260";"2476";"2706";"2754";"2936";"3076";"3103";"2944";"3553";"4018";"5166";"12630";"12974";"13270";"13576";"17264";"18026";"19100";"17838";"15993";"16023"
"Lindolfo Collor (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"605";"497";"524";"507";"295";"324";"317";"365";"832";"835";"832";"847";"657";"706";"818";"721";"476";"504";"460";"428";"471";"466";"466";"318";"343"
"Linha Nova (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1127";"1160";"1184";"1125";"781";"702";"675";"774";"1858";"1794";"1489";"958";"1061";"1058";"1336";"1300";"565";"565";"493";"415";"431";"431";"444";"527";"571"
"Machadinho (RS)";"961";"1072";"1103";"1111";"1270";"1500";"4791";"4561";"4664";"4328";"4016";"3959";"4773";"4535";"4480";"5019";"4800";"5200";"4100";"4410";"3670";"3700";"2668";"2882";"2968";"2935";"3023";"2022";"3181";"3181";"3657";"4995";"5096";"8569";"5080";"5274";"5884";"9225";"9650";"9490";"9700";"9500";"9000";"7495"
"Maçambará (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1096";"1048";"1244";"1445";"1587";"1666";"1825";"1942";"1858";"1966";"1887";"1982";"2139";"1934";"1842";"1885";"1724";"1552";"1257";"1132";"1111"
"Mampituba (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"405";"405";"410";"410";"434";"465";"465";"465";"465";"462";"459";"400";"402";"386";"353";"358";"315";"307";"294";"280";"277"
"Manoel Viana (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2004";"2184";"2000";"1749";"1167";"1183";"1140";"1111";"1137";"1120";"1146";"1083";"1188";"1119";"1142";"1283";"1272";"1314";"1383";"1355";"1591";"1579";"1586";"1553";"1526"
"Maquiné (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"391";"376";"381";"680";"680";"679";"670";"671";"531";"541";"541";"519";"518";"490";"489";"440";"450";"389";"365";"361";"336";"319";"298";"304";"329"
"Maratá (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2529";"2554";"2631";"1748";"1734";"1736";"1725";"1759";"1672";"1669";"1678";"1692";"1523";"1515";"1485";"1500";"1530";"1480";"1406";"3876";"4116";"4112";"1849";"1209";"1246"
"Marau (RS)";"4385";"3814";"3735";"3780";"4444";"6165";"9136";"9180";"11664";"12197";"12905";"12971";"11590";"11544";"11372";"7417";"6872";"7011";"7151";"6299";"6265";"8988";"16155";"14814";"15648";"18762";"19358";"20750";"31906";"33825";"32796";"39046";"39034";"46574";"52709";"55306";"57293";"55200";"52733";"50918";"45187";"54614";"59083";"56850"
"Marcelino Ramos (RS)";"2375";"2381";"2433";"2442";"2300";"2297";"3211";"4950";"5017";"2835";"2007";"1926";"2275";"2193";"3156";"3269";"3270";"3355";"3385";"1709";"1796";"1950";"3941";"3950";"3650";"3738";"3766";"3861";"4238";"4402";"4517";"4616";"4708";"6431";"6346";"6401";"6680";"6710";"8912";"15576";"15230";"14500";"14800";"10682"
"Mariana Pimentel (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2500";"2800";"2900";"200";"238";"250";"300";"286";"260";"312";"340";"300";"270";"243";"235";"280";"301";"306";"312";"340";"353";"346";"191";"264";"260"
"Mariano Moro (RS)";"883";"965";"998";"1004";"735";"790";"1074";"1254";"1318";"1403";"1348";"1332";"1702";"1584";"1765";"1810";"1701";"1739";"1727";"1668";"1750";"1820";"2050";"2050";"1957";"1771";"1789";"1957";"2087";"2269";"2344";"2381";"2429";"1902";"2401";"2750";"2650";"2690";"5256";"5913";"6000";"6500";"6480";"4600"
"Marques de Souza (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3300";"3450";"3884";"4300";"4005";"3980";"5900";"8973";"6400";"6483";"7248";"6433";"6379";"7700";"8180";"11000";"10000";"11500";"9000";"10000";"9500"
"Mata (RS)";"859";"688";"699";"713";"935";"895";"957";"885";"933";"950";"677";"682";"695";"689";"730";"733";"708";"716";"700";"724";"733";"724";"1081";"1260";"1226";"1202";"1258";"1161";"918";"838";"875";"819";"828";"753";"800";"773";"768";"758";"761";"789";"796";"785";"773";"773"
"Mato Castelhano (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2660";"2600";"2470";"1243";"1427";"1382";"1430";"2743";"5146";"5381";"4706";"3772";"5558";"5624";"7001";"6751";"7979";"9164";"10166";"11903";"10091";"9927";"9933";"11084";"11513"
"Mato Leitão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"427";"556";"2772";"2240";"1992";"2010";"2170";"2278";"2282";"2399";"2268";"2176";"2160";"2142";"2500";"2500";"2550";"2525";"2700";"2700";"7000";"7000";"6700";"6400";"6000"
"Mato Queimado (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3000";"3250";"3346";"2200";"2050";"4200";"6000";"5980";"6747";"6766";"6693";"6810";"8000";"8500";"8000";"7500";"7300"
"Maximiliano de Almeida (RS)";"1030";"1310";"1324";"1333";"1181";"1096";"1850";"1984";"2118";"1616";"1656";"1513";"2142";"1793";"1660";"1695";"2286";"2350";"2471";"2522";"2966";"3218";"2854";"3120";"2872";"2981";"3486";"4150";"4388";"4455";"4783";"5740";"5944";"6993";"7047";"7086";"7446";"7590";"7609";"7965";"9000";"8604";"9293";"8596"
"Minas do Leão (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"70";"170";"178";"173";"177";"365";"365";"365";"365";"100";"100";"100";"108";"60";"63";"55";"55";"65";"64";"53";"45";"37";"37";"40";"30"
"Miraguaí (RS)";"1311";"1440";"1417";"1417";"792";"1604";"2018";"1599";"1911";"1620";"1633";"1623";"1623";"1610";"1890";"2249";"2280";"2468";"2785";"2887";"2831";"3116";"3615";"3618";"3750";"4125";"3933";"3562";"3012";"3731";"3594";"3606";"3887";"4031";"12262";"12254";"13300";"14735";"15030";"17030";"16730";"15025";"14633";"14044"
"Montauri (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1125";"1145";"1179";"1184";"1206";"1221";"1270";"1543";"1606";"1585";"1606";"1650";"2925";"3249";"3248";"3270";"3205";"3237";"3289";"3310";"3312";"10000";"10400";"10900";"12461";"12270";"12310";"10973";"11566"
"Monte Alegre dos Campos (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1096";"1112";"1096";"1150";"1144";"4719";"4955";"968";"953";"961";"668";"802";"891";"877";"360";"385";"411";"411";"321";"293";"359"
"Monte Belo do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1500";"1530";"2190";"1540";"1413";"1377";"1520";"1610";"2208";"2060";"1358";"1449";"1439";"1222";"1466";"1922";"1872";"1800";"1737";"1613";"1362";"1296";"1050";"588";"225"
"Montenegro (RS)";"10325";"11545";"11507";"11092";"9862";"11440";"20280";"19853";"19056";"17050";"16248";"16904";"16820";"17350";"18980";"13845";"11505";"12883";"12279";"10483";"10693";"11228";"2730";"2702";"2723";"2752";"2778";"2537";"2638";"2691";"2717";"2495";"2483";"2433";"2409";"2421";"2128";"2043";"13096";"15467";"17666";"14569";"15423";"1680"
"Mormaço (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2392";"1575";"2419";"1860";"1637";"1633";"1766";"3511";"4937";"5064";"5291";"3320";"5630";"5813";"6038";"6557";"7546";"8558";"8150";"9782";"10713";"9963";"7713";"8137";"8147"
"Morrinhos do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1286";"1286";"1350";"394";"406";"405";"406";"405";"410";"411";"412";"355";"320";"317";"170";"153";"165";"165";"223";"256";"307";"289";"283";"257";"254"
"Morro Redondo (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3828";"3832";"3943";"4021";"4240";"4156";"3761";"5845";"5671";"5443";"5485";"5123";"5055";"6695";"6704";"7059";"6624";"6190";"6741";"8964";"9054";"9325";"8843";"4865";"4928";"4953";"4184";"3600";"3470"
"Morro Reuter (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"945";"871";"868";"920";"1082";"1082";"972";"900";"1613";"1644";"1613";"1331";"1166";"1210";"1584";"1460";"1058";"1058";"1007";"1018";"1061";"1043";"1043";"1043";"1066"
"Mostardas (RS)";"690";"693";"734";"745";"1046";"1265";"2292";"2485";"2543";"3424";"3253";"3290";"2832";"3675";"3836";"3914";"5106";"4589";"4871";"4846";"6335";"6385";"6385";"2591";"2508";"2696";"2696";"2704";"2472";"2302";"2229";"1984";"2063";"2076";"2026";"2026";"2031";"2011";"2011";"1634";"1634";"-";"67";"114"
"Muçum (RS)";"2425";"2692";"2665";"6873";"5486";"4762";"5149";"5174";"5122";"2778";"2923";"2931";"3120";"3126";"3140";"2780";"3060";"3250";"2940";"3007";"2571";"2620";"8000";"2800";"2250";"2600";"2610";"2650";"2400";"2405";"1927";"1951";"2032";"2375";"2836";"2523";"2600";"2900";"3000";"2585";"2470";"2100";"2000";"2050"
"Muitos Capões (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1614";"1678";"1651";"1642";"1644";"1625";"1690";"52";"549";"600";"2453";"2130";"2818";"2190";"2419";"2500";"2970";"3300";"4320";"4244";"2506"
"Muliterno (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"730";"731";"753";"966";"1055";"1277";"1191";"1454";"1537";"3545";"3041";"2662";"5976";"6718";"6299";"8715";"8513";"8358";"8152";"10483";"10315";"9828";"10804";"10722";"9937"
"Não-Me-Toque (RS)";"1398";"1480";"1302";"1214";"1298";"1161";"1404";"1476";"1395";"1412";"1752";"1796";"1566";"3636";"4582";"4684";"4755";"5590";"6913";"6429";"6564";"7267";"8125";"8775";"9063";"9421";"10260";"10242";"10806";"10413";"9987";"11175";"13721";"12084";"12529";"11779";"11607";"10860";"10812";"11448";"11903";"11398";"10472";"11750"
"Nicolau Vergueiro (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1560";"1790";"2057";"2438";"2665";"3228";"3123";"3127";"2848";"3473";"3857";"4195";"6567";"8560";"5369";"11482";"11866";"12115";"13022";"14290";"13171";"13125";"14015";"14121";"12365"
"Nonoai (RS)";"3050";"3368";"3378";"3431";"4550";"4100";"5538";"5800";"5847";"6080";"6096";"6034";"6115";"6176";"6244";"7680";"7688";"7345";"7396";"4427";"4987";"5385";"2912";"2900";"2996";"3069";"3159";"3309";"3312";"3428";"3484";"3600";"3636";"3218";"3281";"3251";"3319";"3320";"6040";"6200";"6820";"6820";"6200";"6500"
"Nova Alvorada (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1683";"1711";"1769";"1795";"1816";"1796";"1810";"2194";"2316";"2273";"2306";"2352";"4000";"4100";"3600";"3550";"3612";"3648";"8730";"8893";"8896";"10992";"11036";"11096";"13485";"13125";"12488";"11874";"10290"
"Nova Araçá (RS)";"803";"851";"888";"898";"946";"584";"834";"999";"866";"886";"1372";"937";"976";"984";"956";"1012";"1062";"1104";"1148";"1217";"1427";"1387";"1586";"1286";"1209";"1147";"1440";"1472";"5541";"5369";"5852";"6145";"6436";"6704";"11331";"10991";"10650";"11199";"10731";"12835";"14500";"14760";"14022";"13220"
"Nova Bassano (RS)";"1787";"2155";"2209";"2212";"2079";"2280";"2229";"2650";"2235";"2148";"2125";"2153";"2352";"2492";"2391";"2517";"2530";"2639";"2665";"2663";"2852";"2761";"8052";"3752";"3336";"3255";"3610";"3478";"10250";"11265";"12279";"11666";"12825";"12967";"12988";"12468";"12032";"12476";"12070";"10723";"21876";"24364";"25546";"36399"
"Nova Boa Vista (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1220";"1350";"1413";"4000";"4320";"4297";"4387";"4566";"6324";"6410";"6430";"6132";"6651";"7592";"8096";"8450";"7792";"7944";"8602";"8400";"10893";"12000";"12125";"11868";"12754"
"Nova Bréscia (RS)";"1805";"2090";"2134";"2182";"2003";"1872";"4719";"4879";"4939";"3176";"3106";"3071";"3248";"3474";"4216";"4173";"4120";"4141";"4091";"3641";"3391";"3322";"3312";"3600";"3400";"3479";"3668";"1452";"1720";"1924";"2280";"3215";"3176";"3465";"3944";"3995";"4620";"4468";"6550";"7000";"7130";"7400";"8000";"8168"
"Nova Candelária (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5365";"5420";"5962";"9180";"8841";"9623";"8956";"9442";"10069";"10975";"14238";"14665";"16059";"16861";"17283";"17801";"21885";"22870";"22916";"22864";"23860"
"Nova Esperança do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"582";"588";"477";"405";"409";"402";"405";"1449";"1620";"1553";"1485";"1529";"1558";"1773";"1826";"2008";"2009";"1886";"2032";"2084";"2058";"2134";"2262";"2293";"2295";"2415";"1952";"1868";"1966"
"Nova Hartz (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"375";"211";"209";"200";"173";"163";"198";"595";"619";"651";"686";"667";"652";"544";"559";"665";"120";"123";"127";"77";"74";"86";"84";"81";"218";"243";"259";"246";"248"
"Nova Pádua (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"795";"800";"827";"1916";"2204";"2226";"2315";"1922";"1709";"1642";"1648";"1587";"1505";"1519";"1367";"1596";"1468";"1356";"1620";"1568";"1520";"1672";"1733";"1600";"1085"
"Nova Palma (RS)";"1307";"1469";"1514";"1507";"1159";"856";"631";"600";"601";"571";"588";"569";"677";"770";"3181";"3191";"3209";"3183";"3214";"3481";"3241";"3282";"3673";"3763";"3790";"3800";"3819";"3767";"3857";"3847";"3163";"2263";"2128";"2131";"2240";"2341";"2242";"2251";"2263";"9504";"10000";"17400";"11557";"11550"
"Nova Petrópolis (RS)";"6025";"6689";"6753";"6751";"4261";"14530";"22659";"8053";"8103";"8238";"6258";"6434";"8804";"8669";"8836";"8896";"8188";"8178";"15100";"14200";"11500";"9775";"9370";"9951";"9952";"9991";"9616";"13421";"13824";"14002";"13722";"12847";"12746";"11472";"10898";"8937";"8853";"8782";"8580";"7700";"8100";"7811";"8140";"7636"
"Nova Prata (RS)";"6548";"6585";"6797";"6733";"7032";"7200";"8122";"8561";"8188";"7830";"7840";"7997";"8334";"8071";"8160";"3063";"3155";"3191";"3489";"3741";"3965";"3925";"5097";"2599";"2784";"2940";"3243";"3292";"3300";"10195";"11418";"11875";"12124";"12731";"15101";"14346";"13635";"14194";"13674";"13712";"13728";"11780";"10803";"10928"
"Nova Ramada (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"5500";"5000";"5000";"5200";"5300";"4900";"4700";"4750";"5100";"5016";"6770";"9500";"8800";"12000";"18000";"14500";"14000";"13128";"13000";"13200";"14879"
"Nova Roma do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2467";"2444";"2200";"1945";"2004";"2015";"2034";"4966";"5006";"4971";"4981";"4662";"4602";"3810";"3621";"3509";"3420";"3741";"3928";"4321";"4537";"4037";"4642";"6499";"6724";"6926";"7700";"7250";"8119"
"Nova Santa Rita (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"905";"931";"913";"995";"821";"785";"778";"775";"775";"717";"719";"576";"540";"450";"396";"360";"349";"351";"351";"351";"351";"351";"290";"256";"250"
"Novo Cabrais (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"498";"499";"501";"502";"375";"356";"362";"363";"365";"368";"370";"367";"364";"367";"872";"878";"1685";"1439";"1423";"2041";"1800"
"Novo Hamburgo (RS)";"2247";"2380";"2457";"2472";"2035";"3305";"5098";"5617";"4733";"3640";"3833";"3757";"4274";"2967";"2874";"2265";"2942";"6456";"3581";"3581";"3456";"3372";"4141";"4862";"4761";"3316";"4135";"6504";"6582";"5796";"2979";"3024";"2988";"2704";"3143";"2117";"3024";"3194";"3015";"2936";"2811";"2811";"2683";"2723"
"Novo Machado (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3499";"3252";"3513";"4213";"4490";"4967";"5526";"7096";"7468";"6786";"5670";"7087";"6949";"7505";"6760";"7301";"7717";"7949";"6756";"6500";"6734";"7037";"6263";"6200";"5830"
"Novo Tiradentes (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"410";"146";"172";"1131";"1360";"962";"896";"1102";"1755";"1760";"1806";"2030";"2661";"2934";"3140";"5343";"5448";"6744";"7030";"7112";"8012";"8115";"7017";"6043";"5981"
"Novo Xingu (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"2637";"2905";"2665";"2264";"2895";"3566";"3775";"3691";"3439";"3565";"3607";"3638";"6923";"6615";"8448";"8773";"8480"
"Novo Barreiro (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"1169";"841";"1149";"1475";"1570";"1111";"1602";"1736";"1498";"1233";"1195";"1269";"3264";"3987";"4344";"7919";"8247";"8844";"8734";"10020";"13267";"13937";"11929";"11622";"9876"
"Osório (RS)";"5717";"6207";"6505";"6577";"10374";"8977";"9480";"9310";"9986";"5403";"5396";"4563";"4988";"5087";"3177";"1900";"1760";"1695";"1598";"1219";"1191";"1220";"1225";"1230";"1200";"1351";"1350";"1356";"1490";"1500";"1250";"1300";"1180";"1200";"960";"950";"741";"677";"603";"502";"442";"447";"402";"419"
"Paim Filho (RS)";"1457";"1889";"1950";"1950";"1017";"1013";"1734";"1810";"1867";"2470";"2094";"2277";"2561";"2584";"3050";"1532";"2010";"2072";"2383";"2460";"2482";"2536";"4138";"4062";"4159";"4140";"4447";"5320";"5513";"5569";"5772";"6865";"7043";"8341";"8835";"8996";"9432";"11000";"11016";"11715";"15256";"13500";"16000";"22000"
"Palmares do Sul (RS)";"...";"...";"...";"...";"...";"...";"...";"...";"...";"3892";"3892";"2643";"2711";"2708";"2706";"3995";"4518";"4817";"4397";"4579";"4023";"3939";"3737";"1452";"1363";"1262";"1265";"1328";"1254";"1247";"1213";"1239";"1276";"1289";"1299";"1298";"1301";"1291";"1282";"1300";"1300";"13";"16";"15"
"Palmeira das Missões (RS)";"5045";"5309";"5201";"5106";"5434";"5040";"6118";"5400";"5544";"6318";"6789";"6834";"6708";"6830";"10833";"8810";"9001";"9576";"10495";"6042";"5251";"7186";"6494";"7038";"6734";"8721";"9662";"8165";"7424";"8930";"7690";"8928";"12122";"26460";"30116";"38265";"44231";"44372";"40266";"44300";"45937";"42444";"43017";"40023"
"Palmitinho (RS)";"2077";"2558";"2836";"2606";"2059";"3003";"2880";"2646";"3025";"2688";"2790";"2751";"2350";"2634";"2619";"3698";"3724";"4344";"5218";"2948";"3220";"4680";"1558";"1582";"1685";"1987";"1992";"2019";"2190";"2205";"2256";"2428";"2433";"7500";"7595";"7624";"7556";"7608";"7990";"10300";"11500";"12000";"12000";"13440"
